date,Sensor,R2_R&S,Mean_R2_P&R,Mean_R2_P&S
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
01-19,H1,0.995,0.41,0.695
,,,,
,,,,
,,,,
01-19,T1,0.991,0.717,0.859
01-19,T2,0.996,0.756,0.832
01-19,T3,0.994,0.834,0.915
,,,,
,,,,
,,,,
01-20,T1,0.998,0.657,0.806
,,,,
,,,,
,,,,
01-19,T1,0.991,0.773,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.809,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,0.773,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.809,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,0.773,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.809,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,0.773,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.809,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,0.532,0.973
01-19,T2,0.996,0.877,0.966
01-19,T3,0.994,0.859,0.95
,,,,
,,,,
,,,,
01-20,T1,0.998,0.676,0.824
01-20,T2,0.998,0.75,0.884
01-20,T3,0.998,0.634,0.799
,,,,
,,,,
,,,,
01-19,T1,0.991,-inf,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,0.874
01-20,T2,0.998,-inf,-inf
01-20,T3,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,-inf,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,0.874
01-20,T2,0.998,-inf,-inf
01-20,T3,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,-inf,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-inf,0.874
01-20,T2,0.998,-inf,-inf
01-20,T3,0.998,-inf,-inf
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-1.4995274721934347e+25,0.874
01-20,T2,0.998,0.454,0.712
01-20,T3,0.998,0.391,0.83
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-1.4995274721934347e+25,0.874
01-20,T2,0.998,-778.724,0.712
01-20,T3,0.998,-2373.519,0.83
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-1.4995274721934347e+25,0.874
01-20,T2,0.998,-778.724,0.712
01-20,T3,0.998,-2373.519,0.83
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
01-19,T2,0.996,0.825,0.959
01-19,T3,0.994,-1.523221223085535e+25,0.855
,,,,
,,,,
,,,,
01-20,T1,0.998,-1.4995274721934347e+25,0.874
01-20,T2,0.998,0.377,0.712
01-20,T3,0.998,0.156,0.83
,,,,
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
01-19,T2,0.996,0.825,0.959
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
,,,,
,,,,
,,,,
01-19,T1,0.991,-inf,0.924
,,,,
,,,,
,,,,
01-19,T1,0.991,-inf,0.924
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.6604688147128581e+24,0.924
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.660468814712858e+24,0.925
,,,,
,,,,
,,,,
01-19,T1,0.991,-1.660468814712858e+24,0.925
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.337,0.887
01-20,T2,0.998,0.409,0.872
01-20,T3,0.998,0.394,0.851
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.337,0.887
01-20,T2,0.998,0.409,0.872
01-20,T3,0.998,0.394,0.851
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.427,0.887
01-20,T2,0.998,0.437,0.872
01-20,T3,0.998,0.405,0.851
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.427,0.887
01-20,T2,0.998,0.437,0.872
01-20,T3,0.998,0.405,0.851
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.425,0.865
01-20,T2,0.998,0.434,0.855
01-20,T3,0.998,0.404,0.85
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.438,0.879
01-20,T2,0.998,0.45,0.855
01-20,T3,0.998,0.412,0.857
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.438,0.879
01-20,T2,0.998,0.45,0.855
01-20,T3,0.998,0.412,0.857
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.425,0.865
01-20,T2,0.998,0.434,0.855
01-20,T3,0.998,0.404,0.85
,,,,
,,,,
,,,,
01-19,T1,0.991,0.774,0.958
01-19,T2,0.996,0.842,0.98
01-19,T3,0.994,0.811,0.972
,,,,
,,,,
,,,,
01-20,T1,0.998,0.425,0.865
01-20,T2,0.998,0.434,0.855
01-20,T3,0.998,0.404,0.85
,,,,
,,,,
,,,,
01-19,T1,0.991,0.731,0.914
01-19,T2,0.996,0.816,0.929
01-19,T3,0.994,0.747,0.919
,,,,
,,,,
,,,,
01-20,T1,0.998,0.498,0.755
01-20,T2,0.998,0.542,0.809
01-20,T3,0.998,0.507,0.802
,,,,
,,,,
,,,,
01-19,T1,0.991,0.551,0.688
01-19,T2,0.996,0.605,0.758
01-19,T3,0.994,0.592,0.792
,,,,
,,,,
,,,,
01-20,T1,0.998,0.416,0.656
01-20,T2,0.998,0.501,0.725
01-20,T3,0.998,0.462,0.705
,,,,
,,,,
,,,,
01-19,T1,0.991,0.801,0.949
01-19,T2,0.996,0.822,0.905
01-19,T3,0.994,0.739,0.834
,,,,
,,,,
,,,,
01-20,T1,0.998,0.56,0.777
01-20,T2,0.998,0.63,0.867
01-20,T3,0.998,0.569,0.829
,,,,
,,,,
,,,,
01-19,T1,0.991,0.761,0.938
01-19,T2,0.996,0.797,0.912
01-19,T3,0.994,0.75,0.854
,,,,
,,,,
,,,,
01-20,T1,0.998,0.484,0.869
01-20,T2,0.998,0.538,0.865
01-20,T3,0.998,0.523,0.862
,,,,
,,,,
,,,,
01-19,T1,0.991,0.761,0.938
01-19,T2,0.996,0.822,0.963
01-19,T3,0.994,0.827,0.966
,,,,
,,,,
,,,,
01-20,T1,0.998,0.491,0.889
01-20,T2,0.998,0.538,0.865
01-20,T3,0.998,0.532,0.884
,,,,
,,,,
,,,,
01-19,T1,0.991,0.622,0.97
01-19,T2,0.996,0.711,0.984
,,,,
,,,,
,,,,
01-19,T1,0.991,0.782,0.965
01-19,T2,0.996,0.793,0.972
,,,,
,,,,
,,,,
01-19,T1,0.991,0.782,0.965
01-19,T2,0.996,0.793,0.972
,,,,
,,,,
,,,,
01-19,T1,0.991,0.801,0.949
01-19,T2,0.996,0.851,0.962
,,,,
,,,,
,,,,
01-19,T1,0.991,0.801,0.949
01-19,T2,0.996,0.851,0.962
,,,,
,,,,
,,,,
01-19,T1,0.991,0.801,0.949
01-19,T2,0.996,0.851,0.962
,,,,
,,,,
,,,,
01-19,T1,0.991,0.782,0.965
01-19,T2,0.996,0.793,0.972
,,,,
,,,,
,,,,
01-19,T1,0.991,0.782,0.965
01-19,T2,0.996,0.793,0.972
,,,,
,,,,
,,,,
01-19,T1,0.991,0.748,0.928
01-19,T2,0.996,0.804,0.951
,,,,
,,,,
,,,,
01-19,T1,0.991,0.748,0.928
01-19,T2,0.996,0.804,0.951
,,,,
,,,,
,,,,
01-19,T1,0.991,0.748,0.928
01-19,T2,0.996,0.804,0.951
01-19,T3,0.994,0.824,0.96
,,,,
,,,,
,,,,
01-20,T1,0.998,0.607,0.847
01-20,T2,0.998,0.648,0.882
01-20,T3,0.998,0.62,0.851
,,,,
,,,,
,,,,
01-19,T1,0.991,0.761,0.938
01-19,T2,0.996,0.822,0.963
01-19,T3,0.994,0.827,0.966
,,,,
,,,,
,,,,
01-20,T1,0.998,0.491,0.889
01-20,T2,0.998,0.538,0.865
01-20,T3,0.998,0.532,0.884
,,,,
,,,,
,,,,
01-19,T1,0.991,0.752,0.931
01-19,T2,0.996,0.818,0.959
01-19,T3,0.994,0.819,0.957
,,,,
,,,,
,,,,
01-20,T1,0.998,0.432,0.788
01-20,T2,0.998,0.514,0.814
01-20,T3,0.998,0.472,0.807
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
01-19,T1,0.991,0.348,0.738
,,,,
,,,,
,,,,
01-19,T1,0.991,0.308,0.938
,,,,
,,,,
,,,,
01-19,T1,0.991,0.658,0.902
,,,,
,,,,
,,,,
01-19,T1,0.991,0.668,0.918
,,,,
,,,,
,,,,
01-19,T1,0.991,0.367,0.868
,,,,
,,,,
,,,,
01-19,T1,0.991,0.25,0.9
,,,,
,,,,
,,,,
01-19,T1,0.991,0.25,0.9
,,,,
,,,,
,,,,
01-19,T1,0.991,0.367,0.868
01-19,T1,0.998,0.474,0.76
01-19,T1,0.998,0.259,0.595
01-19,T1,0.998,0.463,0.667
01-19,T1,0.998,0.4,0.758
01-19,T1,0.998,0.476,0.679
01-19,T1,0.998,0.225,0.625
01-20,T1,0.998,0.305,0.732
01-20,T1,0.998,0.305,0.732
01-20,T1,0.998,0.202,0.595
01-20,T1,0.998,0.305,0.732
01-20,T1,0.998,0.532,0.835
01-20,T1,0.998,0.545,0.807
01-20,T1,0.998,0.424,0.764
01-20,T1,0.998,0.443,0.786
01-20,T1,0.998,0.495,0.809
01-20,T1,0.998,0.525,0.805
01-20,T1,0.998,0.469,0.762
01-20,T1,0.998,0.532,0.835
01-20,T1,0.998,0.397,0.67
01-20,T1,0.998,0.464,0.87
01-20,T1,0.998,0.44,0.81
